# x_m,y_m,w_tr_right_m,w_tr_left_m
12.2500,42.6500,0.5000,0.5000
12.2500,42.7000,0.5000,0.5000
12.3000,42.7500,0.5000,0.5000
12.3000,42.8000,0.5017,0.5017
12.3000,42.8500,0.5066,0.5066
12.3000,42.9000,0.5066,0.5066
12.3000,42.9500,0.5017,0.5017
12.3000,43.0000,0.5000,0.5000
12.3000,43.0500,0.5000,0.5000
12.3000,43.1000,0.5000,0.5000
12.3000,43.1500,0.5000,0.5000
12.3500,43.2000,0.5017,0.5017
12.3500,43.2500,0.5066,0.5066
12.3500,43.3000,0.5149,0.5149
12.3500,43.3500,0.5066,0.5066
12.3500,43.4000,0.5017,0.5017
12.3500,43.4500,0.5000,0.5000
12.3500,43.5000,0.5000,0.5000
12.3500,43.5500,0.5000,0.5000
12.4000,43.6000,0.5000,0.5000
12.4000,43.6500,0.5000,0.5000
12.4000,43.7000,0.5017,0.5017
12.4000,43.7500,0.5066,0.5066
12.4000,43.8000,0.5066,0.5066
12.4000,43.8500,0.5017,0.5017
12.4000,43.9000,0.5000,0.5000
12.4000,43.9500,0.5000,0.5000
12.4000,44.0000,0.5000,0.5000
12.4000,44.0500,0.4933,0.4933
12.4500,44.1000,0.5017,0.5017
12.4500,44.1500,0.5000,0.5000
12.4500,44.2000,0.5000,0.5000
12.4500,44.2500,0.5017,0.5017
12.4500,44.3000,0.5000,0.5000
12.4500,44.3500,0.5000,0.5000
12.4500,44.4000,0.5000,0.5000
12.4500,44.4500,0.5000,0.5000
12.4500,44.5000,0.5000,0.5000
12.5000,44.5500,0.5000,0.5000
12.5000,44.6000,0.5017,0.5017
12.5000,44.6500,0.5066,0.5066
12.5000,44.7000,0.5066,0.5066
12.5000,44.7500,0.5017,0.5017
12.5000,44.8000,0.5000,0.5000
12.5000,44.8500,0.5000,0.5000
12.5000,44.9000,0.5000,0.5000
12.5000,44.9500,0.5000,0.5000
12.5500,45.0000,0.5017,0.5017
12.5500,45.0500,0.5066,0.5066
12.5500,45.1000,0.5149,0.5149
12.5500,45.1500,0.5066,0.5066
12.5500,45.2000,0.5017,0.5017
12.5500,45.2500,0.5000,0.5000
12.5500,45.3000,0.5000,0.5000
12.5500,45.3500,0.5000,0.5000
12.5500,45.4000,0.5000,0.5000
12.6000,45.4500,0.5017,0.5017
12.6000,45.5000,0.5066,0.5066
12.6000,45.5500,0.5149,0.5149
12.6000,45.6000,0.5066,0.5066
12.6000,45.6500,0.5017,0.5017
12.6000,45.7000,0.5000,0.5000
12.6000,45.7500,0.5000,0.5000
12.6000,45.8000,0.5000,0.5000
12.6000,45.8500,0.5000,0.5000
12.6500,45.9000,0.5017,0.5017
12.6500,45.9500,0.5066,0.5066
12.6500,46.0000,0.5149,0.5149
12.6500,46.0500,0.5066,0.5066
12.6500,46.1000,0.5017,0.5017
12.6500,46.1500,0.5000,0.5000
12.6500,46.2000,0.5000,0.5000
12.6500,46.2500,0.5000,0.5000
12.7000,46.3000,0.5000,0.5000
12.7000,46.3500,0.5000,0.5000
12.7000,46.4000,0.5000,0.5000
12.7000,46.4500,0.5000,0.5000
12.7000,46.5000,0.5000,0.5000
12.7000,46.5500,0.5000,0.5000
12.7000,46.6000,0.5000,0.5000
12.7000,46.6500,0.5000,0.5000
12.7500,46.7000,0.4518,0.4518
12.7500,46.7500,0.4571,0.4571
12.7500,46.8000,0.4659,0.4659
12.7500,46.8500,0.4780,0.4780
12.7500,46.9000,0.4933,0.4933
12.7500,46.9500,0.5000,0.5000
12.7500,47.0000,0.5000,0.5000
12.7500,47.0500,0.5000,0.5000
12.7500,47.1000,0.5000,0.5000
12.7500,47.1500,0.4933,0.4933
12.7500,47.2000,0.4780,0.4780
12.7500,47.2500,0.4659,0.4659
12.7500,47.3000,0.4571,0.4571
12.8000,47.3500,0.4933,0.4933
12.8000,47.4000,0.5000,0.5000
12.8000,47.4500,0.5000,0.5000
12.8000,47.5000,0.5000,0.5000
12.8000,47.5500,0.5000,0.5000
12.8000,47.6000,0.5000,0.5000
12.8000,47.6500,0.4933,0.4933
12.8000,47.7000,0.4780,0.4780
12.8000,47.7500,0.4659,0.4659
12.8500,47.8000,0.4933,0.4933
12.8500,47.8500,0.5000,0.5000
12.8500,47.9000,0.5000,0.5000
12.8500,47.9500,0.5000,0.5000
12.8500,48.0000,0.5000,0.5000
12.8500,48.0500,0.4933,0.4933
12.8500,48.1000,0.4780,0.4780
12.8500,48.1500,0.4659,0.4659
12.8500,48.2000,0.4571,0.4571
12.9000,48.2500,0.4780,0.4780
12.9000,48.3000,0.4933,0.4933
12.9000,48.3500,0.5000,0.5000
12.9000,48.4000,0.5000,0.5000
12.9000,48.4500,0.5000,0.5000
12.9000,48.5000,0.4933,0.4933
12.9000,48.5500,0.4780,0.4780
12.9000,48.6000,0.4659,0.4659
12.9000,48.6500,0.4571,0.4571
12.9000,48.7000,0.4518,0.4518
12.9500,48.7500,0.4933,0.4933
12.9500,48.8000,0.5000,0.5000
12.9500,48.8500,0.5000,0.5000
12.9500,48.9000,0.5000,0.5000
12.9500,48.9500,0.4933,0.4933
12.9500,49.0000,0.4780,0.4780
12.9500,49.0500,0.4659,0.4659
12.9500,49.1000,0.4571,0.4571
12.9500,49.1500,0.4518,0.4518
13.0000,49.2000,0.4933,0.4933
13.0000,49.2500,0.5000,0.5000
13.0000,49.3000,0.5000,0.5000
13.0000,49.3500,0.4933,0.4933
13.0000,49.4000,0.4780,0.4780
13.0000,49.4500,0.4659,0.4659
13.0000,49.5000,0.4571,0.4571
13.0000,49.5500,0.4518,0.4518
13.0000,49.6000,0.4500,0.4500
13.0500,49.6500,0.4780,0.4780
13.0500,49.7000,0.4933,0.4933
13.0500,49.7500,0.4933,0.4933
13.0500,49.8000,0.4780,0.4780
13.0500,49.8500,0.4659,0.4659
13.0500,49.9000,0.4571,0.4571
13.0500,49.9500,0.4518,0.4518
13.0500,50.0000,0.4500,0.4500
13.0500,50.0500,0.4500,0.4500
13.0500,50.1000,0.4500,0.4500
13.1000,50.1500,0.4933,0.4933
13.1000,50.2000,0.5000,0.5000
13.1000,50.2500,0.5000,0.5000
13.1000,50.3000,0.5000,0.5000
13.1000,50.3500,0.5000,0.5000
13.1000,50.4000,0.5000,0.5000
13.1000,50.4500,0.5000,0.5000
13.1000,50.5000,0.4933,0.4933
13.1000,50.5500,0.4780,0.4780
13.1500,50.6000,0.5149,0.5149
13.1500,50.6500,0.5066,0.5066
13.1500,50.7000,0.5017,0.5017
13.1500,50.7500,0.5000,0.5000
13.1500,50.8000,0.5000,0.5000
13.1500,50.8500,0.5000,0.5000
13.1500,50.9000,0.4933,0.4933
13.2000,50.9500,0.5066,0.5066
13.2000,51.0000,0.5149,0.5149
13.2000,51.0500,0.5066,0.5066
13.2000,51.1000,0.5017,0.5017
13.2000,51.1500,0.5000,0.5000
13.2000,51.2000,0.5000,0.5000
13.2000,51.2500,0.5000,0.5000
